id,text,label
24158,What does Cameron need to do before this?,2
23484,Why did Sasha do this?,1
8339,How would Jesse feel as a result?,3
22828,Why did Cameron do this?,2
7662,What does Austin need to do before this?,3
25575,What will Robin want to do next?,2
17500,What does Casey need to do before this?,1
32977,How would Kai feel afterwards?,2
4814,What will Ash want to do next?,2
11046,What will Aubrey want to do next?,2
8679,Why did Remy do this?,2
25385,What does Sydney need to do after this?,1
6500,What will Others want to do next?,1
650,How would Kendall feel afterwards?,1
14487,How would Ash feel afterwards?,3
10117,How would you describe Lee?,1
25246,What will Jan want to do next?,1
19260,How would Cameron feel afterwards?,1
32151,What will happen to Others?,1
1246,Why did Jesse do this?,3
8724,Why did Casey do this?,1
28238,What will Quinn want to do next?,3
16090,How would Taylor feel afterwards?,1
24523,Why did Aubrey do this?,1
18381,What will happen to Alex?,2
21877,Why did Jesse do this?,3
4257,What does Carson need to do before this?,2
25225,Why did Taylor do this?,2
12662,How would you describe Alex?,2
12517,What will Skylar want to do next?,2
28332,What will Others want to do next?,3
6238,How would you describe Riley?,2
15146,Why did Austin do this?,3
17050,How would Riley feel afterwards?,1
15686,What will Taylor want to do next?,3
7040,How would you describe Lee?,2
29441,How would Quinn feel afterwards?,1
5723,How would Jordan's friends feel afterwards?,3
7171,What will Kai want to do next?,3
25873,What will happen to Ash?,1
32931,How would you describe Austin?,1
23263,How would Lee feel afterwards?,1
13987,What will happen to Taylor?,2
11012,How would Ash feel as a result?,2
12383,How would Others feel as a result?,2
11136,How would Jordan feel afterwards?,3
9302,What will happen to Sasha?,1
28790,What will Robin want to do next?,3
13486,What does Addison do before getting this job?,3
3679,What will the principal want to do next?,1
7079,What will happen to Robin?,1
21721,How would Aubrey feel afterwards?,2
2138,What will happen to Carson?,3
30368,What will Addison want to do next?,3
8256,How would Others feel as a result?,1
26764,How would Riley feel afterwards?,1
20990,What will Casey want to do next?,2
32664,How would you describe Riley?,1
29701,What did Bailey do?,1
16723,What will happen to Kai?,2
11868,How would Lee feel afterwards?,3
87,What will happen to Austin now?,1
18917,How would Alex feel afterwards?,2
13489,How would Others feel as a result?,2
8996,What will Jan want to do next?,3
8699,What will happen to Remy?,1
6115,How would you describe Taylor?,3
1554,What does Jordan need to do before this?,3
3168,Why did Austin do this?,1
8054,How would Cameron feel afterwards?,3
21295,How would Bailey feel afterwards?,2
9374,How would you describe Carson?,1
30197,What does Robin need to do before this?,3
9806,Why did Remy do this?,2
6146,Why did Austin do this?,2
13038,How would you describe Sydney?,3
31529,How would Taylor feel as a result of receiving it?,2
9361,How would Ash's family feel as a result?,3
17367,What will Skylar want to do to Jordan next?,2
9792,How would you describe Riley?,3
15681,How would Others feel as a result?,3
16760,How would Carson feel afterwards?,1
26941,Why did Jordan do this?,2
32144,What will happen to Riley?,1
18137,What will Addison need to buy for the experiment?,1
26037,How would Riley feel afterwards?,1
28085,What will happen to Tracy?,2
5089,What does Taylor need to do before this?,2
3888,What will Robin want to do next?,2
13485,What will Sasha want to do next?,2
3937,What will Taylor want to do next?,2
13265,How would you describe Jordan?,1
822,What does Jan need to do before this?,2
31633,Why did Ash do this?,1
3946,What will Riley want to do next?,2
2189,How would Bailey feel afterwards?,1
3319,What will happen to Austin?,2
7520,How would you describe Robin?,1
27207,How would Sydney feel afterwards?,2
2891,How would Ash feel afterwards?,3
5557,What does Quinn need to do before this?,3
2998,Why did Taylor do this?,2
8957,What will Kendall want to do next?,1
33343,How would the guests feel as a result?,2
13764,How would Aubrey feel as a result?,3
19910,How would Taylor feel afterwards?,3
15131,What will Others want to do next?,3
4800,What will Jan want to do next?,2
1493,What does Jan need to do before this?,3
30988,How would Others feel as a result?,1
20960,How would you describe Austin?,2
22145,What does Addison need to do before this?,3
8545,How would you describe Austin?,3
15881,What are the others going to do next?,1
10227,How would Jesse feel afterwards?,1
13968,How would Austin feel afterwards?,3
6162,What will Cameron want to do next?,3
8061,What does Sasha need to do before this?,1
20218,What will Kendall want to do next?,1
18005,What will Others want to do next?,2
5920,What does Riley need to do before this?,1
23356,Why did Robin do this?,1
16066,How would Others feel as a result?,3
5027,How would Ash feel afterwards?,1
33082,What will Jordan want to do next?,3
13623,How would Ash feel afterwards?,1
27670,What will Ash want to do next?,3
6056,How would Jesse feel afterwards?,3
22974,Why did Robin do this?,1
26218,What does Alex need to do before this?,2
4204,What does Sydney need to do before this?,3
30292,How would you describe Addison?,1
25534,Why did Aubrey do this?,1
27561,How would you describe Kendall?,3
24531,What will Casey want to do next?,3
10496,What will Jan want to do next?,3
31668,What will Jan want to do next?,2
16815,What does Riley need to do before this?,2
24240,What does Alex need to do before this?,1
28969,What does Sydney need to do before this?,2
14882,What does Taylor need to do before this?,3
20008,What will happen to Sasha?,3
33371,What does Remy need to do before this?,3
3372,What will happen to Aubrey next?,2
23730,How would Austin feel afterwards?,3
1628,Why did Jan do this?,2
5677,How would Bailey feel as a result?,1
2125,How would Jesse feel afterwards?,1
1747,How would Remy feel as a result?,2
190,What will Jordan want to do next?,2
10360,How would Alex feel afterwards?,1
23158,Why did Alex do this?,2
24788,What will Others want to do next?,3
8180,What will Bailey want to do next?,2
7362,What does Remy need to do before this?,2
6758,How would Cameron feel afterwards?,3
18424,How would you describe Remy?,3
19543,What will Alex want to do next?,2
13477,What will Remy want to do next?,3
12313,Why did Jan do this?,2
3015,What will Others want to do next?,2
29611,How would Carson feel as a result?,1
25409,Why did Aubrey do this?,2
23863,How would Riley feel after the sale?,3
31961,How would you describe Riley?,3
21778,How would Quinn feel afterwards?,3
19495,How would Carson feel afterwards?,1
3637,What will Jordan want to do after the fact?,3
11322,How would you describe Austin?,1
28876,How would Sasha feel afterwards?,2
29363,What will Tracy want to do next?,3
26594,What will Others want to do next?,2
4396,Why did Jordan do this?,1
24112,What will Lee want to do afterwards?,1
1675,What does Cameron need to do before this?,1
22756,How would Others feel as a result?,3
5751,What will Remy want to do next?,3
30519,How would Kai feel afterwards?,1
29133,What did Lee need do before this?,3
14645,How would you describe Riley?,1
27730,How would Casey feel afterwards?,1
17616,What does Kendall need to do before this?,3
27245,How would you describe Addison?,3
25536,Why did Lee do this?,1
22204,How would you describe Carson?,3
19645,Why did Sasha do this?,1
7915,What will Casey want to do next?,3
16842,How would you describe Ash?,1
16722,What will Others want to do next?,3
6506,What will Carson want to do next?,3
15006,What does Aubrey need to do before this?,1
1719,How would Others feel as a result?,3
32155,What will Others want to do next?,1
11564,What does Sasha need to do before this?,2
6109,What will Casey want to do next?,3
21350,What will Sasha want to do next?,3
13240,How would Bailey feel afterwards?,2
11310,How would Riley feel afterwards?,1
27882,How would Kendall feel afterwards?,1
19423,What will friends and family want to do next?,1
21525,How would you describe Aubrey?,3
3222,How would you describe Addison?,1
28420,What will happen to her friends?,1
20501,How would you describe Alex?,3
5512,Why did Aubrey do this?,3
5093,How would you describe Cameron?,1
8739,How would tracy feel as a result?,2
27497,What will Skylar want to do next?,2
5256,How would you describe Bailey?,3
9309,How would the children feel as a result?,2
5409,How would you describe Sasha?,2
27161,Why did Carson do this?,1
5800,How would you describe Austin?,1
20181,What will happen to Bailey?,1
21540,What will Sasha want to do next?,2
12019,What will Alex want to do next?,2
23213,How would you describe Ash?,3
22005,How would Quinn feel as a result?,3
26072,How would the nurse feel as a result?,1
4434,How would Aubrey feel as a result?,3
16297,What will Sydney want to do next?,3
26942,What will Robin want to do next?,3
20972,How would you describe Kendall?,3
17385,What does Sydney need to do before this?,1
14560,How would you describe Casey?,1
27540,What will Riley want to do after?,2
21064,What does Alex need to do before this?,2
32261,What will happen to Riley?,3
49,How would Sasha feel as a result?,2
17619,What does Tracy need to do before this?,1
30205,Why did Quinn do this?,3
23081,What will happen to Tracy?,2
6343,How would Robin feel afterwards?,1
13318,How would Cameron feel afterwards?,2
2434,How would you describe Sydney?,1
32934,What will Casey want to do when she gets there?,1
25738,What will the players want to do next?,2
31830,How would Addison feel as a result?,1
15501,How would Kai feel as a result?,3
30405,What will Kendall want to do next?,1
7425,What will Carson want to do next?,2
30742,What does Jordan need to do before this?,3
22358,How would you describe Taylor?,2
22216,How would Kai feel afterwards?,3
9903,What will Carson want to do next?,2
4187,What will Riley want to do next?,2
20363,How would Tracy feel after?,1
6324,What will Remy want to do after?,3
19719,How would Sydney feel afterwards?,2
23023,What will happen to Ash?,2
13683,What will Riley want to do next?,2
26911,How would Jesse feel afterwards?,1
7010,What will happen to Jan?,3
27666,What does Tracy need to do before this?,2
10837,Why did Quinn do this?,3
19788,How would you describe Taylor?,2
33011,How would you describe Bailey?,3
6488,What will Others want to do next?,1
28040,How would Skylar feel afterwards?,2
9390,What will Skylar want to do next?,1
29090,What will Addison want to do next?,2
30991,How would you describe Austin?,1
30200,How would Casey feel afterwards?,2
5545,What will Jan want to do next?,2
6272,How would you describe Tracy?,2
15852,How would Kai feel afterwards?,2
6745,How would Others feel as a result?,2
23646,Why did Alex do this?,2
25182,How will Aubrey react to Carson's actions?,3
1666,What will Bailey want to do next?,2
12629,What will happen to Kai?,1
