id,question,choices,label
637,"What kingdom contains organisms that are multicellular, have no chlorophyll, and absorb nutrients from decaying tissue?","{""text"": [""Fungi"", ""Plantae"", ""Protista"", ""Animalia""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
224,A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer,"{""text"": [""energy."", ""heat."", ""motion."", ""water.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,"{""text"": [""carbon dioxide"", ""food"", ""protection"", ""water""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
352,Which is an example of a chemical change?,"{""text"": [""a rusting car fender"", ""a spinning top"", ""a spilled bucket of water"", ""a melting popsicle""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
579,The number of fish in a lake suddenly increases. How will the increase most likely affect the lake?,"{""text"": [""There will be less water in the lake."", ""More plants will grow in the lake."", ""More frogs will live in the lake."", ""There will be fewer insects in the lake.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
415,The incompleteness of the fossil record results primarily from which phenomenon?,"{""text"": [""the frequency and irregular timing of organism speciations"", ""the metamorphosis of most sedimentary rock by heat and pressure"", ""the geologically rapid cycling of crust material back into the mantle"", ""the rarity with which organic remains are exposed to fossil-forming conditions""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1170,The Mariana Trench is the deepest ocean trench on Earth. This trench occurs at a plate boundary where,"{""text"": [""one plate is sliding past another."", ""one plate is being forced beneath another."", ""two plates are colliding into each other."", ""two plates are pulling apart from each other.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2197,Toads lay their eggs in ponds. Tadpoles hatch from the eggs and eat the plants floating in the pond. Which resource is most important for toads to survive?,"{""text"": [""grass"", ""rocks"", ""trees"", ""water""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1026,Many leaves appear green because the leaves,"{""text"": [""resist green light."", ""bend all colors except green."", ""reflect green light."", ""reflect all colors except green.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
883,"During winter months, Amina sometimes notices ice covering the hoods of parked cars. Once the engine of the car runs for a while, the ice on the hood begins to melt. What form of energy is released from the car engine to melt the ice?","{""text"": [""chemical"", ""electrical"", ""heat"", ""light""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
